Area,Age,Sex,Year,Value,Flags
Central Hawke's Bay District,35-39 years,Male,2013,384,
Rangitikei District,20-24 years,Female,2013,396,
Devonport-Takapuna Local Board Area,50-54 years,Female,2013,2214,
Marlborough District,15-19 years,Male,2013,1314,
Waitemata Local Board Area,100 years and over,Male,2013,0,
Marlborough District,75-79 years,Male,2013,747,
Kaikoura District,45-49 years,Male,2013,123,
Puketapapa Local Board Area,80-84 years,Female,2013,468,
Buller District,95-99 years,Male,2013,0,
Buller District,80-84 years,Female,2013,126,
Upper Harbour Local Board Area,95-99 years,Male,2013,15,
Kapiti Coast District,60-64 years,Female,2013,1761,
Auckland,10-14 years,Female,2013,46860,
Maungakiekie-Tamaki Local Board Area,60-64 years,Male,2013,1545,
Lower Hutt City,85-89 years,Male,2013,381,
Rodney Local Board Area,85-89 years,Male,2013,240,
Gisborne Region,50-54 years,Female,2013,1626,
Rodney Local Board Area,30-34 years,Male,2013,1098,
Masterton District,25-29 years,Male,2013,522,
Timaru District,30-34 years,Female,2013,1059,
Kaipara District,15-19 years,Female,2013,531,
Clutha District,100 years and over,Male,2013,0,
Howick Local Board Area,30-34 years,Male,2013,3918,
Kaipatiki Local Board Area,5-9 years,Male,2013,2535,
"Total, Territorial Authority areas",5-9 years,Male,2013,146766,
Nelson City,80-84 years,Female,2013,675,
Maungakiekie-Tamaki Local Board Area,10-14 years,Male,2013,2094,
Westland District,5-9 years,Female,2013,252,
Hamilton City,55-59 years,Male,2013,3492,
Franklin Local Board Area,45-49 years,Male,2013,2595,
Waitemata Local Board Area,90-94 years,Male,2013,45,
Northland Region,75-79 years,Female,2013,2511,
West Coast Region,5-9 years,Female,2013,951,
Waipa District,85-89 years,Female,2013,351,
Timaru District,90-94 years,Female,2013,228,
New Plymouth District,50-54 years,Female,2013,2871,
Devonport-Takapuna Local Board Area,75-79 years,Female,2013,801,
Kaipara District,75-79 years,Male,2013,309,
Tasman District,35-39 years,Female,2013,1506,
Hibiscus and Bays Local Board Area,55-59 years,Male,2013,2784,
Clutha District,50-54 years,Male,2013,666,
Clutha District,50-54 years,Female,2013,693,
Area outside territorial authority,45-49 years,Female,2013,9,
Great Barrier Local Board Area,70-74 years,Male,2013,42,
Otago Region,45-49 years,Male,2013,7059,
Hurunui District,45-49 years,Male,2013,426,
Matamata-Piako District,75-79 years,Male,2013,522,
Waitaki District,60-64 years,Male,2013,798,
Papakura Local Board Area,100 years and over,Female,2013,6,
Kaikoura District,75-79 years,Female,2013,75,
Manawatu-Wanganui Region,30-34 years,Female,2013,6234,
Tararua District,15-19 years,Female,2013,504,
Puketapapa Local Board Area,20-24 years,Male,2013,2403,
Bay of Plenty Region,30-34 years,Female,2013,7497,
Waimakariri District,85-89 years,Female,2013,357,
Marlborough District,55-59 years,Female,2013,1716,
Kaipatiki Local Board Area,20-24 years,Male,2013,3240,
Waitaki District,90-94 years,Female,2013,90,
Westland District,20-24 years,Female,2013,351,
Orakei Local Board Area,90-94 years,Male,2013,156,
Tasman District,35-39 years,Male,2013,1416,
Rotorua District,45-49 years,Female,2013,2592,
Rodney Local Board Area,95-99 years,Male,2013,12,
Waikato Region,5-9 years,Female,2013,14517,
Howick Local Board Area,40-44 years,Male,2013,4530,
Rodney Local Board Area,15-19 years,Male,2013,1809,
Far North District,25-29 years,Male,2013,1170,
"Total, Territorial Authority areas",75-79 years,Male,2013,50994,
Waitemata Local Board Area,30-34 years,Male,2013,4824,
Central Otago District,70-74 years,Male,2013,537,
Wellington City,15-19 years,Female,2013,7791,
Mangere-Otahuhu Local Board Area,20-24 years,Male,2013,2898,
Nelson City,60-64 years,Female,2013,1653,
Waitaki District,45-49 years,Male,2013,750,
Manurewa Local Board Area,10-14 years,Female,2013,3321,
Waitemata Local Board Area,20-24 years,Male,2013,6732,
Ruapehu District,55-59 years,Female,2013,456,
Auckland Region,50-54 years,Female,2013,50313,
Timaru District,35-39 years,Male,2013,1137,
Ruapehu District,95-99 years,Male,2013,0,
Buller District,55-59 years,Female,2013,402,
Westland District,20-24 years,Male,2013,369,
Devonport-Takapuna Local Board Area,60-64 years,Male,2013,1557,
Carterton District,60-64 years,Female,2013,327,
Manawatu District,25-29 years,Male,2013,669,
Grey District,50-54 years,Female,2013,570,
Rangitikei District,0-4 years,Female,2013,492,
Invercargill City,0-4 years,Female,2013,1668,
Gore District,45-49 years,Male,2013,438,
Nelson Region,65-69 years,Female,2013,1371,
Mangere-Otahuhu Local Board Area,50-54 years,Female,2013,2130,
South Wairarapa District,40-44 years,Female,2013,369,
Area Outside Region,45-49 years,Male,2013,30,
South Waikato District,30-34 years,Male,2013,507,
Tasman Region,25-29 years,Male,2013,1212,
Auckland,95-99 years,Male,2013,297,
Hawke's Bay Region,25-29 years,Male,2013,4116,
Central Otago District,15-19 years,Female,2013,354,
Carterton District,45-49 years,Female,2013,309,
Otara-Papatoetoe Local Board Area,35-39 years,Female,2013,2649,
Area Outside Region,60-64 years,Male,2013,24,
Puketapapa Local Board Area,10-14 years,Female,2013,1578,
South Taranaki District,85-89 years,Female,2013,174,
Opotiki District,10-14 years,Male,2013,339,
Waiheke Local Board Area,0-4 years,Male,2013,285,
Taranaki Region,0-4 years,Female,2013,3870,
Horowhenua District,35-39 years,Male,2013,645,
Nelson City,50-54 years,Female,2013,1983,
Kawerau District,25-29 years,Male,2013,138,
Otara-Papatoetoe Local Board Area,65-69 years,Male,2013,1128,
Lower Hutt City,80-84 years,Male,2013,702,
Rodney Local Board Area,85-89 years,Female,2013,303,
Waitaki District,95-99 years,Female,2013,24,
Tasman District,65-69 years,Female,2013,1629,
Hastings District,0-4 years,Female,2013,2739,
Waitemata Local Board Area,25-29 years,Male,2013,6585,
Selwyn District,20-24 years,Male,2013,1497,
Napier City,100 years and over,Female,2013,3,
Auckland,15-19 years,Female,2013,51939,
Queenstown-Lakes District,35-39 years,Female,2013,1518,
Puketapapa Local Board Area,5-9 years,Female,2013,1635,
Puketapapa Local Board Area,85-89 years,Female,2013,342,
Upper Hutt City,0-4 years,Female,2013,1344,
Auckland,15-19 years,Male,2013,52914,
New Plymouth District,80-84 years,Female,2013,1044,
Canterbury Region,55-59 years,Male,2013,17670,
Auckland,85-89 years,Female,2013,7947,
Porirua City,35-39 years,Female,2013,1980,
Westland District,40-44 years,Male,2013,345,
Mangere-Otahuhu Local Board Area,80-84 years,Female,2013,345,
Tararua District,25-29 years,Male,2013,360,
Hamilton City,80-84 years,Female,2013,1443,
Papakura Local Board Area,95-99 years,Male,2013,6,
Timaru District,25-29 years,Female,2013,1056,
Orakei Local Board Area,95-99 years,Male,2013,39,
Waitaki District,30-34 years,Female,2013,513,
Auckland Region,80-84 years,Male,2013,9015,
Area outside territorial authority,5-9 years,Female,2013,6,
Manawatu-Wanganui Region,25-29 years,Female,2013,6516,
Southland District,45-49 years,Female,2013,1188,
Hibiscus and Bays Local Board Area,45-49 years,Female,2013,3780,
Southland Region,5-9 years,Female,2013,3135,
Puketapapa Local Board Area,100 years and over,Female,2013,6,
Matamata-Piako District,30-34 years,Male,2013,738,
Hibiscus and Bays Local Board Area,95-99 years,Female,2013,93,
South Taranaki District,90-94 years,Female,2013,84,
Central Hawke's Bay District,30-34 years,Male,2013,369,
Devonport-Takapuna Local Board Area,55-59 years,Female,2013,1827,
Gore District,50-54 years,Male,2013,510,
Waikato District,75-79 years,Male,2013,576,
Bay of Plenty Region,90-94 years,Male,2013,459,
South Taranaki District,10-14 years,Female,2013,930,
Tararua District,0-4 years,Female,2013,642,
Waikato Region,0-4 years,Female,2013,14490,
Napier City,20-24 years,Female,2013,1698,
Rotorua District,50-54 years,Female,2013,2622,
Palmerston North City,65-69 years,Female,2013,1719,
Horowhenua District,50-54 years,Female,2013,1149,
Hamilton City,45-49 years,Male,2013,4092,
Tauranga City,95-99 years,Male,2013,45,
Mackenzie District,15-19 years,Female,2013,87,
Manurewa Local Board Area,15-19 years,Female,2013,3384,
Whakatane District,35-39 years,Male,2013,876,
Palmerston North City,70-74 years,Male,2013,1203,
Mangere-Otahuhu Local Board Area,35-39 years,Male,2013,2031,
Area outside territorial authority,30-34 years,Male,2013,96,
Otorohanga District,95-99 years,Female,2013,9,
Manawatu-Wanganui Region,35-39 years,Female,2013,6567,
Tauranga City,85-89 years,Male,2013,846,
Auckland,100 years and over,Female,2013,144,
Area Outside Region,65-69 years,Male,2013,9,
Central Otago District,40-44 years,Male,2013,627,
Otara-Papatoetoe Local Board Area,40-44 years,Female,2013,2562,
Selwyn District,50-54 years,Male,2013,1779,
Southland Region,55-59 years,Female,2013,3267,
Hurunui District,75-79 years,Male,2013,219,
Nelson Region,35-39 years,Female,2013,1569,
Rodney Local Board Area,40-44 years,Female,2013,2391,
Central Hawke's Bay District,40-44 years,Male,2013,429,
Whakatane District,30-34 years,Female,2013,924,
Gisborne Region,25-29 years,Female,2013,1275,
Western Bay of Plenty District,45-49 years,Male,2013,1572,
Wellington Region,100 years and over,Female,2013,48,
Hawke's Bay Region,30-34 years,Male,2013,4044,
Matamata-Piako District,5-9 years,Female,2013,1125,
Puketapapa Local Board Area,15-19 years,Female,2013,2058,
Queenstown-Lakes District,90-94 years,Male,2013,24,
"Total, Territorial Authority areas",60-64 years,Female,2013,125217,
Waikato District,5-9 years,Male,2013,2670,
Bay of Plenty Region,80-84 years,Male,2013,3003,
Invercargill City,5-9 years,Female,2013,1656,
Nelson City,90-94 years,Female,2013,189,
Southland Region,75-79 years,Female,2013,1515,
Rangitikei District,40-44 years,Male,2013,429,
Area Outside Region,60-64 years,Female,2013,24,
Kaikoura District,95-99 years,Female,2013,3,
Selwyn District,95-99 years,Female,2013,12,
Devonport-Takapuna Local Board Area,100 years and over,Male,2013,0,
Western Bay of Plenty District,75-79 years,Female,2013,762,
Westland District,60-64 years,Male,2013,474,
Carterton District,65-69 years,Female,2013,276,
Northland Region,100 years and over,Male,2013,3,
Manawatu District,100 years and over,Male,2013,0,
Carterton District,75-79 years,Male,2013,108,
Stratford District,90-94 years,Male,2013,12,
Manawatu District,20-24 years,Male,2013,702,
Mangere-Otahuhu Local Board Area,10-14 years,Female,2013,3165,
Nelson Region,25-29 years,Female,2013,1365,
Waitakere Ranges Local Board Area,100 years and over,Female,2013,3,
Western Bay of Plenty District,90-94 years,Female,2013,141,
Hauraki District,65-69 years,Female,2013,645,
Mangere-Otahuhu Local Board Area,65-69 years,Male,2013,1134,
Orakei Local Board Area,75-79 years,Male,2013,840,
Waitaki District,75-79 years,Female,2013,441,
Tauranga City,30-34 years,Male,2013,2934,
Waikato Region,10-14 years,Female,2013,14469,
Lower Hutt City,20-24 years,Male,2013,3084,
Whangarei District,80-84 years,Female,2013,1047,
Tasman Region,90-94 years,Male,2013,84,
Orakei Local Board Area,55-59 years,Female,2013,2847,
Northland Region,85-89 years,Female,2013,1200,
Howick Local Board Area,35-39 years,Male,2013,3795,
Waipa District,60-64 years,Female,2013,1335,
Otorohanga District,70-74 years,Male,2013,180,
Upper Harbour Local Board Area,35-39 years,Male,2013,1626,
Masterton District,30-34 years,Male,2013,540,
Howick Local Board Area,65-69 years,Female,2013,2847,
Kaipara District,45-49 years,Male,2013,630,
Rangitikei District,65-69 years,Male,2013,423,
Waipa District,40-44 years,Female,2013,1803,
Lower Hutt City,10-14 years,Male,2013,3369,
Auckland Region,35-39 years,Male,2013,45405,
Hamilton City,10-14 years,Female,2013,4659,
Thames-Coromandel District,20-24 years,Male,2013,546,
Rodney Local Board Area,15-19 years,Female,2013,1746,
Kaikoura District,50-54 years,Male,2013,174,
Waimate District,75-79 years,Female,2013,135,
Rodney Local Board Area,90-94 years,Male,2013,75,
Mackenzie District,85-89 years,Female,2013,24,
Central Otago District,45-49 years,Female,2013,672,
Upper Hutt City,40-44 years,Male,2013,1605,
Canterbury Region,0-4 years,Male,2013,17277,
Rangitikei District,25-29 years,Male,2013,330,
"Total, Territorial Authority areas",0-4 years,Male,2013,150507,
Tasman Region,0-4 years,Female,2013,1371,
New Plymouth District,35-39 years,Male,2013,2193,
West Coast Region,30-34 years,Male,2013,912,
Waikato Region,5-9 years,Male,2013,14742,
Palmerston North City,25-29 years,Female,2013,2982,
South Taranaki District,55-59 years,Male,2013,864,
Kaipara District,5-9 years,Male,2013,618,
Hamilton City,85-89 years,Male,2013,531,
Tasman District,40-44 years,Male,2013,1776,
Whau Local Board Area,55-59 years,Female,2013,2052,
Queenstown-Lakes District,65-69 years,Male,2013,1200,
South Taranaki District,5-9 years,Female,2013,927,
Western Bay of Plenty District,10-14 years,Female,2013,1575,
West Coast Region,10-14 years,Male,2013,1050,
Southland Region,0-4 years,Female,2013,3126,
Invercargill City,80-84 years,Female,2013,720,
Bay of Plenty Region,5-9 years,Male,2013,9963,
Selwyn District,25-29 years,Male,2013,1086,
Wellington City,55-59 years,Male,2013,4905,
Maungakiekie-Tamaki Local Board Area,30-34 years,Female,2013,3351,
Waikato District,50-54 years,Female,2013,2403,
Area outside territorial authority,50-54 years,Male,2013,69,
Waiheke Local Board Area,35-39 years,Male,2013,255,
Timaru District,35-39 years,Female,2013,1287,
Buller District,0-4 years,Female,2013,339,
Stratford District,45-49 years,Female,2013,318,
Marlborough District,45-49 years,Female,2013,1674,
Tararua District,50-54 years,Male,2013,636,
Devonport-Takapuna Local Board Area,80-84 years,Male,2013,516,
Nelson City,20-24 years,Male,2013,1308,
Area Outside Region,30-34 years,Female,2013,12,
Waimate District,95-99 years,Male,2013,9,
South Waikato District,90-94 years,Male,2013,24,
Marlborough Region,90-94 years,Female,2013,195,
Hurunui District,25-29 years,Male,2013,303,
Southland District,0-4 years,Male,2013,1125,
Horowhenua District,50-54 years,Male,2013,1077,
Queenstown-Lakes District,40-44 years,Female,2013,1473,
Kawerau District,55-59 years,Female,2013,171,
Puketapapa Local Board Area,0-4 years,Female,2013,1671,
Hawke's Bay Region,35-39 years,Male,2013,4413,
Maungakiekie-Tamaki Local Board Area,0-4 years,Male,2013,3138,
Otara-Papatoetoe Local Board Area,90-94 years,Male,2013,57,
Whau Local Board Area,85-89 years,Male,2013,306,
Thames-Coromandel District,30-34 years,Female,2013,624,
Great Barrier Local Board Area,10-14 years,Male,2013,24,
South Waikato District,35-39 years,Male,2013,588,
Hamilton City,15-19 years,Male,2013,6048,
Bay of Plenty Region,50-54 years,Female,2013,10272,
Buller District,20-24 years,Female,2013,282,
Otago Region,15-19 years,Female,2013,9507,
Nelson City,65-69 years,Female,2013,1371,
Waipa District,65-69 years,Female,2013,1185,
Western Bay of Plenty District,30-34 years,Female,2013,954,
Central Otago District,85-89 years,Female,2013,153,
Whangarei District,35-39 years,Male,2013,1932,
Tasman Region,0-4 years,Male,2013,1455,
Hurunui District,5-9 years,Male,2013,414,
Chatham Islands Territory,75-79 years,Male,2013,9,
Horowhenua District,5-9 years,Female,2013,981,
Lower Hutt City,95-99 years,Male,2013,24,
Orakei Local Board Area,30-34 years,Male,2013,2325,
Marlborough Region,50-54 years,Female,2013,1866,
Hurunui District,85-89 years,Male,2013,57,
Kaipara District,5-9 years,Female,2013,645,
Marlborough District,55-59 years,Male,2013,1665,
Clutha District,90-94 years,Female,2013,51,
Marlborough District,15-19 years,Female,2013,1200,
Whangarei District,65-69 years,Male,2013,2181,
Marlborough District,40-44 years,Male,2013,1491,
Napier City,0-4 years,Male,2013,1941,
Timaru District,60-64 years,Male,2013,1545,
Thames-Coromandel District,15-19 years,Female,2013,579,
Upper Hutt City,55-59 years,Female,2013,1257,
Horowhenua District,10-14 years,Female,2013,1032,
Tauranga City,75-79 years,Male,2013,1833,
Mackenzie District,95-99 years,Female,2013,0,
Mangere-Otahuhu Local Board Area,65-69 years,Female,2013,1200,
Tasman Region,10-14 years,Male,2013,1782,
Hauraki District,15-19 years,Male,2013,555,
Kawerau District,20-24 years,Male,2013,171,
Central Hawke's Bay District,25-29 years,Male,2013,306,
Chatham Islands Territory,65-69 years,Female,2013,9,
Lower Hutt City,55-59 years,Female,2013,3069,
Kawerau District,15-19 years,Female,2013,231,
Palmerston North City,35-39 years,Female,2013,2556,
Wellington City,5-9 years,Female,2013,5397,
Gisborne Region,0-4 years,Male,2013,1761,
Manawatu-Wanganui Region,60-64 years,Male,2013,6384,
Waiheke Local Board Area,80-84 years,Female,2013,72,
Kaikoura District,15-19 years,Female,2013,114,
Otorohanga District,55-59 years,Female,2013,288,
Wanganui District,60-64 years,Male,2013,1293,
Tararua District,65-69 years,Male,2013,447,
Orakei Local Board Area,10-14 years,Male,2013,2745,
Horowhenua District,75-79 years,Female,2013,696,
Otago Region,55-59 years,Male,2013,7308,
Auckland,5-9 years,Female,2013,47760,
Manurewa Local Board Area,45-49 years,Male,2013,2454,
Timaru District,80-84 years,Male,2013,609,
Waikato District,55-59 years,Male,2013,2157,
Hurunui District,70-74 years,Female,2013,309,
Upper Harbour Local Board Area,15-19 years,Male,2013,2139,
Manawatu District,70-74 years,Female,2013,558,
Hibiscus and Bays Local Board Area,55-59 years,Female,2013,3048,
Kapiti Coast District,15-19 years,Male,2013,1338,
Thames-Coromandel District,100 years and over,Female,2013,3,
Otorohanga District,35-39 years,Female,2013,258,
Wairoa District,20-24 years,Male,2013,183,
Grey District,55-59 years,Male,2013,522,
Kawerau District,75-79 years,Male,2013,114,
Ruapehu District,40-44 years,Male,2013,411,
Dunedin City,20-24 years,Female,2013,7266,
Hamilton City,5-9 years,Female,2013,4893,
Palmerston North City,40-44 years,Female,2013,2778,
Canterbury Region,60-64 years,Female,2013,16941,
Porirua City,45-49 years,Male,2013,1842,
Opotiki District,85-89 years,Male,2013,39,
Upper Hutt City,15-19 years,Female,2013,1329,
Waiheke Local Board Area,10-14 years,Female,2013,219,
Rotorua District,75-79 years,Male,2013,747,
Area Outside Region,40-44 years,Female,2013,24,
Northland Region,70-74 years,Male,2013,3822,
Maungakiekie-Tamaki Local Board Area,50-54 years,Female,2013,2172,
Howick Local Board Area,25-29 years,Male,2013,3657,
Manawatu-Wanganui Region,80-84 years,Male,2013,2256,
Waitaki District,100 years and over,Male,2013,0,
Upper Harbour Local Board Area,20-24 years,Male,2013,2322,
Christchurch City,0-4 years,Male,2013,10743,
Otara-Papatoetoe Local Board Area,25-29 years,Female,2013,3075,
Wanganui District,10-14 years,Male,2013,1587,
Southland Region,5-9 years,Male,2013,3306,
Western Bay of Plenty District,95-99 years,Male,2013,9,
Waitaki District,95-99 years,Male,2013,6,
South Taranaki District,60-64 years,Male,2013,738,
Waitakere Ranges Local Board Area,0-4 years,Male,2013,1962,
Orakei Local Board Area,60-64 years,Male,2013,2256,
Selwyn District,10-14 years,Male,2013,1758,
Chatham Islands Territory,5-9 years,Male,2013,30,
South Waikato District,65-69 years,Female,2013,573,
Queenstown-Lakes District,50-54 years,Male,2013,1254,
Waitomo District,80-84 years,Female,2013,90,
Southland Region,95-99 years,Female,2013,87,
Stratford District,25-29 years,Female,2013,258,
Tauranga City,55-59 years,Female,2013,3843,
Dunedin City,25-29 years,Male,2013,3612,
Franklin Local Board Area,35-39 years,Female,2013,2226,
Taranaki Region,80-84 years,Female,2013,1422,
Marlborough Region,25-29 years,Female,2013,1245,
Taranaki Region,60-64 years,Female,2013,3246,
Whakatane District,40-44 years,Male,2013,1029,
Auckland,55-59 years,Male,2013,38670,
Hawke's Bay Region,90-94 years,Male,2013,282,
Ruapehu District,45-49 years,Female,2013,417,
Ashburton District,65-69 years,Male,2013,783,
Papakura Local Board Area,0-4 years,Female,2013,2019,
Auckland,45-49 years,Male,2013,49476,
Waitomo District,10-14 years,Female,2013,309,
Papakura Local Board Area,15-19 years,Male,2013,1608,
South Taranaki District,45-49 years,Male,2013,942,
Manawatu-Wanganui Region,70-74 years,Male,2013,4320,
Taranaki Region,10-14 years,Female,2013,3765,
Waitomo District,60-64 years,Female,2013,291,
Wellington Region,10-14 years,Female,2013,14703,
Marlborough Region,10-14 years,Female,2013,1245,
Wanganui District,35-39 years,Female,2013,1182,
Area Outside Region,85-89 years,Female,2013,3,
Canterbury Region,15-19 years,Male,2013,19302,
Bay of Plenty Region,5-9 years,Female,2013,9492,
Southland Region,15-19 years,Female,2013,2901,
Nelson City,35-39 years,Male,2013,1344,
Invercargill City,80-84 years,Male,2013,498,
Auckland Region,90-94 years,Female,2013,3825,
Mangere-Otahuhu Local Board Area,0-4 years,Male,2013,3573,
Tasman Region,35-39 years,Male,2013,1416,
Far North District,30-34 years,Male,2013,1128,
Ruapehu District,40-44 years,Female,2013,402,
Mangere-Otahuhu Local Board Area,80-84 years,Male,2013,273,
Wairoa District,0-4 years,Male,2013,363,
Area Outside Region,85-89 years,Male,2013,3,
Christchurch City,0-4 years,Female,2013,10335,
Buller District,95-99 years,Female,2013,12,
Hibiscus and Bays Local Board Area,15-19 years,Male,2013,3423,
Hibiscus and Bays Local Board Area,95-99 years,Male,2013,33,
Carterton District,85-89 years,Female,2013,63,
Buller District,15-19 years,Female,2013,273,
Clutha District,90-94 years,Male,2013,27,
Wellington City,55-59 years,Female,2013,5505,
Tasman District,25-29 years,Female,2013,1239,
Gore District,15-19 years,Female,2013,384,
Orakei Local Board Area,80-84 years,Male,2013,654,
Rodney Local Board Area,5-9 years,Female,2013,1968,
Lower Hutt City,0-4 years,Male,2013,3648,
Central Otago District,75-79 years,Female,2013,324,
Northland Region,65-69 years,Female,2013,5025,
Matamata-Piako District,50-54 years,Male,2013,1107,
Gore District,55-59 years,Male,2013,417,
Kaipara District,40-44 years,Male,2013,567,
Waitaki District,20-24 years,Male,2013,486,
Bay of Plenty Region,60-64 years,Male,2013,7938,
Tararua District,35-39 years,Female,2013,462,
Westland District,30-34 years,Male,2013,330,
New Plymouth District,90-94 years,Male,2013,120,
Lower Hutt City,75-79 years,Male,2013,969,
Whangarei District,25-29 years,Male,2013,1830,
Kawerau District,5-9 years,Male,2013,291,
Orakei Local Board Area,85-89 years,Male,2013,366,
Opotiki District,100 years and over,Male,2013,0,
Horowhenua District,0-4 years,Female,2013,918,
Napier City,25-29 years,Female,2013,1590,
Matamata-Piako District,45-49 years,Male,2013,1050,
Otorohanga District,40-44 years,Female,2013,324,
Kaikoura District,30-34 years,Female,2013,126,
Puketapapa Local Board Area,15-19 years,Male,2013,2004,
Rotorua District,80-84 years,Male,2013,546,
Wairoa District,70-74 years,Female,2013,123,
Kaipatiki Local Board Area,45-49 years,Female,2013,3006,
Whau Local Board Area,65-69 years,Male,2013,1224,
Kapiti Coast District,65-69 years,Male,2013,1500,
Southland District,10-14 years,Male,2013,1149,
New Plymouth District,95-99 years,Male,2013,33,
Manawatu-Wanganui Region,65-69 years,Male,2013,5625,
Porirua City,50-54 years,Male,2013,1581,
Far North District,50-54 years,Male,2013,2148,
Grey District,65-69 years,Male,2013,378,
Manawatu District,65-69 years,Female,2013,657,
Kaipara District,55-59 years,Male,2013,723,
Hamilton City,20-24 years,Female,2013,7140,
Hurunui District,55-59 years,Female,2013,474,
Otago Region,20-24 years,Male,2013,9519,
Taranaki Region,35-39 years,Female,2013,3555,
Queenstown-Lakes District,70-74 years,Male,2013,795,
Whau Local Board Area,35-39 years,Female,2013,2574,
Matamata-Piako District,40-44 years,Female,2013,1107,
Ruapehu District,15-19 years,Female,2013,546,
Central Otago District,95-99 years,Male,2013,6,
Franklin Local Board Area,80-84 years,Female,2013,561,
Bay of Plenty Region,10-14 years,Male,2013,10251,
Far North District,35-39 years,Male,2013,1302,
Lower Hutt City,5-9 years,Male,2013,3534,
Waimate District,80-84 years,Male,2013,105,
Ruapehu District,85-89 years,Female,2013,75,
Waitakere Ranges Local Board Area,85-89 years,Female,2013,174,
Napier City,50-54 years,Female,2013,2223,
Matamata-Piako District,55-59 years,Male,2013,993,
Puketapapa Local Board Area,55-59 years,Male,2013,1530,
Otorohanga District,100 years and over,Female,2013,0,
Tasman District,0-4 years,Female,2013,1371,
Kaikoura District,20-24 years,Male,2013,111,
Kaikoura District,100 years and over,Male,2013,0,
Ashburton District,25-29 years,Male,2013,978,
Waitomo District,35-39 years,Female,2013,252,
Bay of Plenty Region,75-79 years,Female,2013,4608,
Lower Hutt City,60-64 years,Male,2013,2529,
Gore District,65-69 years,Male,2013,297,
Marlborough Region,100 years and over,Female,2013,9,
South Wairarapa District,70-74 years,Male,2013,246,
Hibiscus and Bays Local Board Area,50-54 years,Female,2013,3570,
Dunedin City,40-44 years,Male,2013,3873,
New Plymouth District,15-19 years,Male,2013,2412,
Dunedin City,25-29 years,Female,2013,3564,
Opotiki District,40-44 years,Female,2013,264,
Waiheke Local Board Area,65-69 years,Male,2013,333,
Thames-Coromandel District,45-49 years,Male,2013,834,
Area Outside Region,35-39 years,Female,2013,24,
Manawatu-Wanganui Region,90-94 years,Male,2013,375,
Rotorua District,100 years and over,Female,2013,9,
Rodney Local Board Area,70-74 years,Male,2013,1209,
Kaikoura District,30-34 years,Male,2013,102,
Area Outside Region,40-44 years,Male,2013,24,
Central Hawke's Bay District,25-29 years,Female,2013,282,
Southland District,50-54 years,Male,2013,1332,
Manawatu District,90-94 years,Female,2013,84,
Waitakere Ranges Local Board Area,35-39 years,Male,2013,1740,
Christchurch City,65-69 years,Male,2013,7944,
"Total, Territorial Authority areas",55-59 years,Male,2013,129819,
Otago Region,5-9 years,Female,2013,5712,
Hamilton City,60-64 years,Female,2013,3477,
Papakura Local Board Area,0-4 years,Male,2013,2115,
Otorohanga District,20-24 years,Female,2013,231,
Bay of Plenty Region,20-24 years,Male,2013,7278,
Gisborne Region,10-14 years,Female,2013,1698,
Waikato District,45-49 years,Female,2013,2514,
Otara-Papatoetoe Local Board Area,70-74 years,Male,2013,825,
Taranaki Region,25-29 years,Male,2013,2952,
Hurunui District,15-19 years,Female,2013,318,
Maungakiekie-Tamaki Local Board Area,50-54 years,Male,2013,2010,
Southland District,75-79 years,Male,2013,417,
Hurunui District,30-34 years,Male,2013,348,
Wellington City,70-74 years,Male,2013,2232,
Area Outside Region,15-19 years,Female,2013,9,
Waitemata Local Board Area,80-84 years,Male,2013,273,
Tasman District,65-69 years,Male,2013,1638,
Whau Local Board Area,90-94 years,Male,2013,81,
Selwyn District,30-34 years,Male,2013,1050,
Waiheke Local Board Area,20-24 years,Female,2013,174,
Waipa District,75-79 years,Male,2013,663,
Ashburton District,0-4 years,Female,2013,1140,
Manawatu-Wanganui Region,10-14 years,Male,2013,8034,
Wanganui District,80-84 years,Male,2013,552,
Area Outside Region,95-99 years,Female,2013,0,
Hibiscus and Bays Local Board Area,85-89 years,Male,2013,549,
Taupo District,5-9 years,Male,2013,1242,
Ruapehu District,90-94 years,Male,2013,3,
Ruapehu District,30-34 years,Male,2013,366,
Waikato Region,40-44 years,Male,2013,13416,
Wellington City,50-54 years,Male,2013,6288,
Buller District,85-89 years,Male,2013,63,
Area outside territorial authority,55-59 years,Male,2013,66,
Upper Hutt City,5-9 years,Male,2013,1362,
Rodney Local Board Area,75-79 years,Male,2013,705,
Manurewa Local Board Area,25-29 years,Male,2013,2682,
Mangere-Otahuhu Local Board Area,60-64 years,Female,2013,1527,
Whau Local Board Area,80-84 years,Female,2013,750,
Mackenzie District,5-9 years,Male,2013,156,
Waimate District,90-94 years,Female,2013,30,
Canterbury Region,80-84 years,Female,2013,6810,
Gore District,35-39 years,Male,2013,309,
Manawatu District,10-14 years,Female,2013,978,
Northland Region,60-64 years,Female,2013,5610,
Western Bay of Plenty District,70-74 years,Female,2013,1125,
Rangitikei District,35-39 years,Female,2013,375,
Clutha District,70-74 years,Female,2013,339,
Invercargill City,10-14 years,Male,2013,1644,
Hurunui District,20-24 years,Female,2013,270,
Tauranga City,45-49 years,Female,2013,4122,
West Coast Region,15-19 years,Male,2013,999,
Tasman Region,15-19 years,Male,2013,1665,
Wellington Region,5-9 years,Female,2013,15138,
Buller District,75-79 years,Female,2013,180,
