Area,Age,Sex,Year,Value,Flags
Waikato District,90-94 years,Female,2013,123,
Upper Harbour Local Board Area,85-89 years,Male,2013,174,
"Total, Territorial Authority areas",95-99 years,Female,2013,3297,
Henderson-Massey Local Board Area,60-64 years,Female,2013,2559,
Hamilton City,50-54 years,Female,2013,4569,
Great Barrier Local Board Area,20-24 years,Female,2013,21,
Thames-Coromandel District,95-99 years,Male,2013,6,
Porirua City,90-94 years,Male,2013,36,
Northland Region,30-34 years,Male,2013,3213,
Tasman Region,25-29 years,Female,2013,1239,
Tasman Region,65-69 years,Male,2013,1638,
Whau Local Board Area,45-49 years,Male,2013,2325,
Nelson City,50-54 years,Male,2013,1818,
Wairoa District,70-74 years,Male,2013,177,
Thames-Coromandel District,15-19 years,Male,2013,696,
Tararua District,65-69 years,Female,2013,429,
Taupo District,90-94 years,Female,2013,81,
Chatham Islands Territory,5-9 years,Female,2013,21,
Grey District,85-89 years,Female,2013,90,
"Total, Territorial Authority areas",15-19 years,Female,2013,149466,
Thames-Coromandel District,85-89 years,Male,2013,225,
Whau Local Board Area,100 years and over,Female,2013,6,
Palmerston North City,0-4 years,Female,2013,2769,
Matamata-Piako District,80-84 years,Female,2013,498,
Waitakere Ranges Local Board Area,65-69 years,Male,2013,930,
Rangitikei District,65-69 years,Female,2013,405,
Nelson Region,0-4 years,Female,2013,1374,
Carterton District,40-44 years,Male,2013,285,
Waikato District,45-49 years,Male,2013,2448,
Grey District,95-99 years,Female,2013,3,
Manurewa Local Board Area,60-64 years,Female,2013,1698,
Chatham Islands Territory,75-79 years,Female,2013,6,
New Plymouth District,45-49 years,Male,2013,2451,
Mackenzie District,0-4 years,Male,2013,168,
Canterbury Region,85-89 years,Female,2013,4488,
Ashburton District,100 years and over,Female,2013,3,
Stratford District,0-4 years,Female,2013,330,
Napier City,100 years and over,Male,2013,3,
South Wairarapa District,20-24 years,Male,2013,198,
Kapiti Coast District,10-14 years,Female,2013,1659,
Marlborough Region,10-14 years,Male,2013,1281,
Manawatu District,55-59 years,Male,2013,873,
Canterbury Region,95-99 years,Female,2013,468,
Waitomo District,60-64 years,Male,2013,276,
Marlborough District,95-99 years,Female,2013,42,
Marlborough Region,80-84 years,Male,2013,519,
Waitomo District,45-49 years,Male,2013,312,
Kaipara District,85-89 years,Female,2013,147,
West Coast Region,45-49 years,Female,2013,1380,
Papakura Local Board Area,30-34 years,Female,2013,1575,
Southland Region,45-49 years,Female,2013,3525,
Waiheke Local Board Area,70-74 years,Female,2013,228,
Canterbury Region,15-19 years,Female,2013,17478,
Dunedin City,70-74 years,Female,2013,2421,
Auckland,55-59 years,Female,2013,42366,
Gore District,70-74 years,Female,2013,288,
Hurunui District,45-49 years,Female,2013,447,
Papakura Local Board Area,60-64 years,Male,2013,1017,
Kapiti Coast District,45-49 years,Male,2013,1608,
Gisborne Region,100 years and over,Male,2013,0,
Marlborough District,85-89 years,Female,2013,402,
Waitakere Ranges Local Board Area,30-34 years,Female,2013,1689,
Kaipara District,75-79 years,Female,2013,294,
Franklin Local Board Area,100 years and over,Female,2013,6,
New Plymouth District,10-14 years,Female,2013,2496,
Maungakiekie-Tamaki Local Board Area,70-74 years,Female,2013,987,
Area outside territorial authority,75-79 years,Female,2013,9,
Upper Hutt City,45-49 years,Female,2013,1557,
Gore District,60-64 years,Female,2013,321,
Waikato Region,50-54 years,Female,2013,14736,
Devonport-Takapuna Local Board Area,30-34 years,Male,2013,1524,
Masterton District,70-74 years,Male,2013,498,
Whangarei District,25-29 years,Female,2013,2013,
Whau Local Board Area,15-19 years,Female,2013,2592,
Whangarei District,10-14 years,Female,2013,2640,
Gisborne District,60-64 years,Female,2013,1272,
Franklin Local Board Area,85-89 years,Female,2013,372,
Taranaki Region,30-34 years,Female,2013,3135,
Rotorua District,25-29 years,Male,2013,1866,
Albert-Eden Local Board Area,95-99 years,Male,2013,27,
Christchurch City,20-24 years,Male,2013,14829,
Waiheke Local Board Area,65-69 years,Female,2013,375,
Western Bay of Plenty District,90-94 years,Male,2013,69,
Otorohanga District,20-24 years,Male,2013,372,
Wellington City,80-84 years,Female,2013,1371,
Waimakariri District,40-44 years,Male,2013,1893,
South Waikato District,60-64 years,Female,2013,624,
Nelson Region,10-14 years,Female,2013,1503,
Thames-Coromandel District,55-59 years,Female,2013,1221,
Hawke's Bay Region,60-64 years,Female,2013,5112,
Albert-Eden Local Board Area,15-19 years,Male,2013,3675,
Tasman Region,40-44 years,Female,2013,2031,
Nelson Region,80-84 years,Female,2013,675,
Taupo District,80-84 years,Female,2013,402,
Waimate District,15-19 years,Female,2013,198,
Puketapapa Local Board Area,55-59 years,Female,2013,1632,
Otago Region,95-99 years,Male,2013,48,
Timaru District,15-19 years,Male,2013,1491,
Waitomo District,15-19 years,Female,2013,288,
Lower Hutt City,95-99 years,Female,2013,57,
Kapiti Coast District,90-94 years,Female,2013,336,
Kaikoura District,95-99 years,Male,2013,0,
Ashburton District,20-24 years,Female,2013,813,
Napier City,70-74 years,Female,2013,1386,
Upper Harbour Local Board Area,80-84 years,Male,2013,318,
Marlborough Region,90-94 years,Male,2013,96,
Gore District,0-4 years,Male,2013,402,
Waitakere Ranges Local Board Area,95-99 years,Female,2013,12,
Gisborne District,45-49 years,Female,2013,1524,
Hibiscus and Bays Local Board Area,20-24 years,Male,2013,2616,
Opotiki District,35-39 years,Male,2013,198,
Northland Region,40-44 years,Male,2013,4662,
Franklin Local Board Area,15-19 years,Female,2013,2172,
Matamata-Piako District,75-79 years,Female,2013,567,
Waikato Region,75-79 years,Male,2013,5151,
Nelson City,45-49 years,Male,2013,1680,
Manawatu-Wanganui Region,15-19 years,Male,2013,8454,
Grey District,30-34 years,Male,2013,309,
Auckland Region,90-94 years,Male,2013,1653,
Upper Harbour Local Board Area,55-59 years,Female,2013,1668,
"Total, Territorial Authority areas",50-54 years,Male,2013,147378,
Waitomo District,100 years and over,Female,2013,0,
Christchurch City,65-69 years,Female,2013,8631,
South Wairarapa District,25-29 years,Male,2013,174,
Auckland Region,10-14 years,Male,2013,49299,
Auckland,85-89 years,Male,2013,4875,
Canterbury Region,45-49 years,Male,2013,19482,
Taranaki Region,100 years and over,Female,2013,12,
Waitakere Ranges Local Board Area,40-44 years,Female,2013,2211,
Manurewa Local Board Area,65-69 years,Male,2013,1206,
Napier City,65-69 years,Female,2013,1758,
Tasman Region,35-39 years,Female,2013,1509,
Otago Region,75-79 years,Female,2013,3150,
Horowhenua District,70-74 years,Male,2013,843,
Tasman District,0-4 years,Male,2013,1455,
Wairoa District,40-44 years,Female,2013,240,
Mackenzie District,75-79 years,Male,2013,75,
Christchurch City,70-74 years,Female,2013,6630,
Albert-Eden Local Board Area,90-94 years,Male,2013,126,
Hauraki District,45-49 years,Female,2013,681,
Area Outside Region,20-24 years,Male,2013,24,
Opotiki District,40-44 years,Male,2013,225,
