Area,Highest qualification,Age group,Sex,Value,Flags
Canterbury Region,Level 1 certificate,15-19 years,Female,3768,
Canterbury Region,Level 2 certificate,15-19 years,Male,4323,
Canterbury Region,Level 2 certificate,15-19 years,Female,3798,
Canterbury Region,Level 3 certificate,15-19 years,Male,3573,
Canterbury Region,Level 3 certificate,15-19 years,Female,3678,
Canterbury Region,Level 4 certificate,15-19 years,Male,372,
Canterbury Region,Level 4 certificate,15-19 years,Female,177,
Canterbury Region,Level 5 or level 6 diploma,15-19 years,Male,147,
Canterbury Region,Level 5 or level 6 diploma,15-19 years,Female,195,
Canterbury Region,Bachelor degree and level 7 qualification,15-19 years,Male,27,
Canterbury Region,Bachelor degree and level 7 qualification,15-19 years,Female,24,
Canterbury Region,Post-graduate and honours degrees,15-19 years,Male,6,
Canterbury Region,Post-graduate and honours degrees,15-19 years,Female,6,
Canterbury Region,Masters degree,15-19 years,Male,3,
Canterbury Region,Masters degree,15-19 years,Female,0,
Canterbury Region,Doctorate degree,15-19 years,Male,0,
Canterbury Region,Doctorate degree,15-19 years,Female,3,
Canterbury Region,Overseas secondary school qualification,15-19 years,Male,228,
Canterbury Region,Overseas secondary school qualification,15-19 years,Female,243,
Canterbury Region,Not elsewhere included,15-19 years,Male,1572,
Canterbury Region,Not elsewhere included,15-19 years,Female,1452,
Otago Region,No qualification,15-19 years,Male,1419,
Otago Region,No qualification,15-19 years,Female,1146,
Otago Region,Level 1 certificate,15-19 years,Male,1395,
Otago Region,Level 1 certificate,15-19 years,Female,1161,
Otago Region,Level 2 certificate,15-19 years,Male,1584,
Otago Region,Level 2 certificate,15-19 years,Female,1344,
Otago Region,Level 3 certificate,15-19 years,Male,2613,
Otago Region,Level 3 certificate,15-19 years,Female,3918,
Otago Region,Level 4 certificate,15-19 years,Male,105,
Otago Region,Level 4 certificate,15-19 years,Female,126,
Otago Region,Level 5 or level 6 diploma,15-19 years,Male,51,
Otago Region,Level 5 or level 6 diploma,15-19 years,Female,84,
Otago Region,Bachelor degree and level 7 qualification,15-19 years,Male,6,
Otago Region,Bachelor degree and level 7 qualification,15-19 years,Female,9,
Otago Region,Post-graduate and honours degrees,15-19 years,Male,0,
Otago Region,Post-graduate and honours degrees,15-19 years,Female,0,
Otago Region,Masters degree,15-19 years,Male,0,
Otago Region,Masters degree,15-19 years,Female,0,
Otago Region,Doctorate degree,15-19 years,Male,0,
Otago Region,Doctorate degree,15-19 years,Female,0,
Otago Region,Overseas secondary school qualification,15-19 years,Male,201,
Otago Region,Overseas secondary school qualification,15-19 years,Female,243,
Otago Region,Not elsewhere included,15-19 years,Male,684,
Otago Region,Not elsewhere included,15-19 years,Female,609,
Southland Region,No qualification,15-19 years,Male,885,
Southland Region,No qualification,15-19 years,Female,735,
Southland Region,Level 1 certificate,15-19 years,Male,846,
Southland Region,Level 1 certificate,15-19 years,Female,690,
Southland Region,Level 2 certificate,15-19 years,Male,726,
Southland Region,Level 2 certificate,15-19 years,Female,654,
Southland Region,Level 3 certificate,15-19 years,Male,240,
Southland Region,Level 3 certificate,15-19 years,Female,375,
Southland Region,Level 4 certificate,15-19 years,Male,60,
Southland Region,Level 4 certificate,15-19 years,Female,36,
Southland Region,Level 5 or level 6 diploma,15-19 years,Male,27,
Southland Region,Level 5 or level 6 diploma,15-19 years,Female,39,
Southland Region,Bachelor degree and level 7 qualification,15-19 years,Male,3,
Southland Region,Bachelor degree and level 7 qualification,15-19 years,Female,3,
Southland Region,Post-graduate and honours degrees,15-19 years,Male,0,
Southland Region,Post-graduate and honours degrees,15-19 years,Female,3,
Southland Region,Masters degree,15-19 years,Male,0,
Southland Region,Masters degree,15-19 years,Female,0,
Southland Region,Doctorate degree,15-19 years,Male,0,
Southland Region,Doctorate degree,15-19 years,Female,0,
Southland Region,Overseas secondary school qualification,15-19 years,Male,33,
Southland Region,Overseas secondary school qualification,15-19 years,Female,45,
Southland Region,Not elsewhere included,15-19 years,Male,297,
Southland Region,Not elsewhere included,15-19 years,Female,267,
Area Outside Region,No qualification,15-19 years,Male,6,
Area Outside Region,No qualification,15-19 years,Female,,c
Area Outside Region,Level 1 certificate,15-19 years,Male,,c
Area Outside Region,Level 1 certificate,15-19 years,Female,6,
Area Outside Region,Level 2 certificate,15-19 years,Male,,c
Area Outside Region,Level 2 certificate,15-19 years,Female,,c
Area Outside Region,Level 3 certificate,15-19 years,Male,,c
Area Outside Region,Level 3 certificate,15-19 years,Female,,c
Area Outside Region,Level 4 certificate,15-19 years,Male,,c
Area Outside Region,Level 4 certificate,15-19 years,Female,,c
Area Outside Region,Level 5 or level 6 diploma,15-19 years,Male,,c
Area Outside Region,Level 5 or level 6 diploma,15-19 years,Female,,c
Area Outside Region,Bachelor degree and level 7 qualification,15-19 years,Male,,c
Area Outside Region,Bachelor degree and level 7 qualification,15-19 years,Female,,c
Area Outside Region,Post-graduate and honours degrees,15-19 years,Male,,c
Area Outside Region,Post-graduate and honours degrees,15-19 years,Female,,c
Area Outside Region,Masters degree,15-19 years,Male,,c
Area Outside Region,Masters degree,15-19 years,Female,,c
Area Outside Region,Doctorate degree,15-19 years,Male,,c
Area Outside Region,Doctorate degree,15-19 years,Female,,c
Area Outside Region,Overseas secondary school qualification,15-19 years,Male,,c
Area Outside Region,Overseas secondary school qualification,15-19 years,Female,,c
Area Outside Region,Not elsewhere included,15-19 years,Male,,c
Area Outside Region,Not elsewhere included,15-19 years,Female,,c
Northland Region,No qualification,20-24 years,Male,645,
Northland Region,No qualification,20-24 years,Female,579,
Northland Region,Level 1 certificate,20-24 years,Male,465,
Northland Region,Level 1 certificate,20-24 years,Female,459,
Northland Region,Level 2 certificate,20-24 years,Male,552,
Northland Region,Level 2 certificate,20-24 years,Female,579,
Northland Region,Level 3 certificate,20-24 years,Male,462,
Northland Region,Level 3 certificate,20-24 years,Female,615,
Northland Region,Level 4 certificate,20-24 years,Male,333,
Northland Region,Level 4 certificate,20-24 years,Female,228,
Northland Region,Level 5 or level 6 diploma,20-24 years,Male,156,
Northland Region,Level 5 or level 6 diploma,20-24 years,Female,204,
Northland Region,Bachelor degree and level 7 qualification,20-24 years,Male,123,
Northland Region,Bachelor degree and level 7 qualification,20-24 years,Female,291,
Northland Region,Post-graduate and honours degrees,20-24 years,Male,6,
Northland Region,Post-graduate and honours degrees,20-24 years,Female,24,
Northland Region,Masters degree,20-24 years,Male,9,
Northland Region,Masters degree,20-24 years,Female,9,
Northland Region,Doctorate degree,20-24 years,Male,3,
Northland Region,Doctorate degree,20-24 years,Female,0,
Northland Region,Overseas secondary school qualification,20-24 years,Male,60,
Northland Region,Overseas secondary school qualification,20-24 years,Female,66,
Northland Region,Not elsewhere included,20-24 years,Male,621,
Northland Region,Not elsewhere included,20-24 years,Female,570,
Auckland Region,No qualification,20-24 years,Male,4584,
Auckland Region,No qualification,20-24 years,Female,3474,
Auckland Region,Level 1 certificate,20-24 years,Male,3801,
Auckland Region,Level 1 certificate,20-24 years,Female,3105,
Auckland Region,Level 2 certificate,20-24 years,Male,6450,
Auckland Region,Level 2 certificate,20-24 years,Female,5019,
Auckland Region,Level 3 certificate,20-24 years,Male,12387,
Auckland Region,Level 3 certificate,20-24 years,Female,14232,
Auckland Region,Level 4 certificate,20-24 years,Male,3639,
Auckland Region,Level 4 certificate,20-24 years,Female,2712,
Auckland Region,Level 5 or level 6 diploma,20-24 years,Male,4368,
Auckland Region,Level 5 or level 6 diploma,20-24 years,Female,3879,
Auckland Region,Bachelor degree and level 7 qualification,20-24 years,Male,6927,
Auckland Region,Bachelor degree and level 7 qualification,20-24 years,Female,10659,
Auckland Region,Post-graduate and honours degrees,20-24 years,Male,1038,
Auckland Region,Post-graduate and honours degrees,20-24 years,Female,1464,
Auckland Region,Masters degree,20-24 years,Male,339,
Auckland Region,Masters degree,20-24 years,Female,378,
Auckland Region,Doctorate degree,20-24 years,Male,6,
Auckland Region,Doctorate degree,20-24 years,Female,6,
Auckland Region,Overseas secondary school qualification,20-24 years,Male,3639,
Auckland Region,Overseas secondary school qualification,20-24 years,Female,3279,
Auckland Region,Not elsewhere included,20-24 years,Male,6879,
Auckland Region,Not elsewhere included,20-24 years,Female,5955,
Waikato Region,No qualification,20-24 years,Male,1926,
Waikato Region,No qualification,20-24 years,Female,1446,
Waikato Region,Level 1 certificate,20-24 years,Male,1506,
Waikato Region,Level 1 certificate,20-24 years,Female,1353,
Waikato Region,Level 2 certificate,20-24 years,Male,2079,
Waikato Region,Level 2 certificate,20-24 years,Female,1863,
Waikato Region,Level 3 certificate,20-24 years,Male,2421,
Waikato Region,Level 3 certificate,20-24 years,Female,3156,
